idx, formula, icsd, V.MFrac, Fe.MFrac, Cu.MFrac, OM.Ratio
173, V8O15, 00-018-1448, 1.0000, 0.0000, 0.0000, 1.8750
174, V8O15, 01-082-4444, 1.0000, 0.0000, 0.0000, 1.8750
175, V8O, 04-017-4368, 1.0000, 0.0000, 0.0000, 0.1250
176, V9O17, 01-082-4445, 1.0000, 0.0000, 0.0000, 1.8889
177, V9O, 00-042-1263, 1.0000, 0.0000, 0.0000, 0.1111
178, VFe2O4, 04-006-0431, 0.3333, 0.6667, 0.0000, 1.3333
179, VFeO3, 04-002-2984, 0.5000, 0.5000, 0.0000, 1.5000
180, VO0.03, 04-012-8107, 1.0000, 0.0000, 0.0000, 0.0300
181, VO0.25, 04-003-5530, 1.0000, 0.0000, 0.0000, 0.2500
182, VO0.2, 00-010-0321, 1.0000, 0.0000, 0.0000, 0.2000
183, VO0.53, 00-037-1306, 1.0000, 0.0000, 0.0000, 0.5300
184, VO1.27, 00-015-0629, 1.0000, 0.0000, 0.0000, 1.2700
185, VO2, 00-019-1401, 1.0000, 0.0000, 0.0000, 2.0000
186, VO2, 00-025-1003, 1.0000, 0.0000, 0.0000, 2.0000
187, VO2, 00-033-1440, 1.0000, 0.0000, 0.0000, 2.0000
188, VO2, 00-042-0876, 1.0000, 0.0000, 0.0000, 2.0000
189, VO2, 01-071-0289, 1.0000, 0.0000, 0.0000, 2.0000
190, VO2, 01-071-0290, 1.0000, 0.0000, 0.0000, 2.0000
191, VO2, 01-079-1655, 1.0000, 0.0000, 0.0000, 2.0000
192, VO2, 04-007-0515, 1.0000, 0.0000, 0.0000, 2.0000
193, VO2, 04-007-1466, 1.0000, 0.0000, 0.0000, 2.0000
194, VO2, 04-007-2429, 1.0000, 0.0000, 0.0000, 2.0000
195, VO2, 04-007-2430, 1.0000, 0.0000, 0.0000, 2.0000
196, VO2, 04-014-1695, 1.0000, 0.0000, 0.0000, 2.0000
197, VO, 00-038-0974, 1.0000, 0.0000, 0.0000, 1.0000
198, VO, 04-008-0642, 1.0000, 0.0000, 0.0000, 1.0000
199, VxO2, 00-034-0608, 1.0000, 0.0000, 0.0000, 2.0000
