SnO2 ● Tin Oxide
Wavelength = 0.9764Å
26.875	0.54
26.9	0.45
26.925	0.38
26.95	0.33
26.975	0.3
27.0	0.26
27.025	0.24
27.05	0.22
27.075	0.2
27.1	0.18
27.125	0.17
27.15	0.16
27.175	0.14
27.2	0.14
27.225	0.18
27.25	0.17
27.275	0.17
27.3	0.16
27.325	0.16
27.35	0.15
27.375	0.15
27.4	0.15
27.425	0.14
27.45	0.14
27.475	0.14
27.5	0.14
27.525	0.13
27.55	0.13
27.575	0.13
27.6	0.13
27.625	0.13
27.65	0.13
27.675	0.13
27.7	0.12
27.725	0.12
27.75	0.12
27.775	0.12
27.8	0.12
27.825	0.12
27.85	0.12
27.875	0.12
27.9	0.1
27.925	0.1
27.95	0.1
27.975	0.1
28.0	0.1
28.025	0.1
28.05	0.1
28.075	0.1
28.1	0.11
28.125	0.11
28.15	0.11
28.175	0.11
28.2	0.11
28.225	0.11
28.25	0.11
28.275	0.11
28.3	0.11
28.325	0.11
28.35	0.11
28.375	0.11
28.4	0.12
28.425	0.12
28.45	0.12
28.475	0.12
28.5	0.12
28.525	0.12
28.55	0.12
28.575	0.12
28.6	0.12
28.625	0.1
28.65	0.11
28.675	0.11
28.7	0.11
28.725	0.11
28.75	0.11
28.775	0.11
28.8	0.12
28.825	0.12
28.85	0.12
28.875	0.12
28.9	0.12
28.925	0.12
28.95	0.13
28.975	0.13
29.0	0.13
29.025	0.13
29.05	0.13
29.075	0.14
29.1	0.14
29.125	0.14
29.15	0.14
29.175	0.15
29.2	0.15
29.225	0.15
29.25	0.15
29.275	0.16
29.3	0.16
29.325	0.16
29.35	0.17
29.375	0.17
29.4	0.17
29.425	0.18
29.45	0.18
29.475	0.18
29.5	0.19
29.525	0.19
29.55	0.19
29.575	0.2
29.6	0.2
29.625	0.2
29.65	0.21
29.675	0.21
29.7	0.22
29.725	0.22
29.75	0.23
29.775	0.23
29.8	0.24
29.825	0.24
29.85	0.25
29.875	0.25
29.9	0.26
29.925	0.26
29.95	0.27
29.975	0.28
30.0	0.28
30.025	0.29
30.05	0.3
30.075	0.32
30.1	0.33
30.125	0.34
30.15	0.35
30.175	0.36
30.2	0.37
30.225	0.38
30.25	0.39
30.275	0.4
30.3	0.41
30.325	0.42
30.35	0.43
30.375	0.44
30.4	0.45
30.425	0.47
30.45	0.48
30.475	0.5
30.5	0.51
30.525	0.53
30.55	0.54
30.575	0.56
30.6	0.58
30.625	0.6
30.65	0.62
30.675	0.64
30.7	0.66
30.725	0.68
30.75	0.71
30.775	0.73
30.8	0.76
30.825	0.79
30.85	0.82
30.875	0.85
30.9	0.89
30.925	0.92
30.95	0.96
30.975	1.01
31.0	1.05
31.025	1.1
31.05	1.15
31.075	1.2
31.1	1.26
31.125	1.32
31.15	1.39
31.175	1.46
31.2	1.54
31.225	1.63
31.25	1.72
31.275	1.82
31.3	1.93
31.325	2.06
31.35	2.19
31.375	2.33
31.4	2.5
31.425	2.68
31.45	2.87
31.475	3.1
31.5	3.35
31.525	3.63
31.55	3.95
31.575	4.31
31.6	4.72
31.625	5.2
31.65	5.75
31.675	6.39
31.7	7.15
31.725	8.05
31.75	9.13
31.775	10.44
31.8	12.05
31.825	14.08
31.85	16.74
31.875	20.47
31.9	26.25
31.925	36.1
31.95	53.68
31.975	84.42
32.0	134.33
32.025	206.83
32.05	298.38
